Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","68","France","5511","Production","2511","Blé","2017","2017","Milliers de tonnes","38678","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5611","Importations - Quantité","2511","Blé","2017","2017","Milliers de tonnes","2643","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5072","Variation de stock","2511","Blé","2017","2017","Milliers de tonnes","3887","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5911","Exportations - Quantité","2511","Blé","2017","2017","Milliers de tonnes","16769","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5301","Disponibilité intérieure","2511","Blé","2017","2017","Milliers de tonnes","20665","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5521","Aliments pour animaux","2511","Blé","2017","2017","Milliers de tonnes","7593","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5527","Semences","2511","Blé","2017","2017","Milliers de tonnes","797","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5123","Pertes","2511","Blé","2017","2017","Milliers de tonnes","354","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5131","Traitement","2511","Blé","2017","2017","Milliers de tonnes","1839","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5154","Autres utilisations (non alimentaire)","2511","Blé","2017","2017","Milliers de tonnes","2878","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","68","France","5142","Nourriture","2511","Blé","2017","2017","Milliers de tonnes","7203","S","Données standardisées"
