Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2511","Blé","2013","2013","Milliers de tonnes","1173","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","119","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2513","Orge","2013","2013","Milliers de tonnes","10","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2514","Maïs","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2531","Pommes de Terre","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2542","Sucre Eq Brut","2013","2013","Milliers de tonnes","271","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2543","Edulcorants Autres","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2745","Miel","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2549","Légumineuses Autres","2013","2013","Milliers de tonnes","26","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2560","Coco (Incl Coprah)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2571","Huile de Soja","2013","2013","Milliers de tonnes","16","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2572","Huile d'Arachide","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2573","Huile de Tournesol","2013","2013","Milliers de tonnes","22","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2574","Huile de Colza&Moutarde","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2577","Huile de Palme","2013","2013","Milliers de tonnes","119","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2580","Huile d'Olive","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5611","Importations - Quantité","2586","Huil Plantes Oleif Autr","2013","2013","Milliers de tonnes","360","S","Données standardisées"
