Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2511","Blé","2017","2017","Milliers de tonnes","76","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2511","Blé","2017","2017","Milliers de tonnes","642","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2511","Blé","2017","2017","Milliers de tonnes","5640","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2805","Riz (Eq Blanchi)","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2805","Riz (Eq Blanchi)","2017","2017","Milliers de tonnes","24","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2805","Riz (Eq Blanchi)","2017","2017","Milliers de tonnes","717","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2513","Orge","2017","2017","Milliers de tonnes","67","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2513","Orge","2017","2017","Milliers de tonnes","14","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2513","Orge","2017","2017","Milliers de tonnes","18","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2514","Maïs","2017","2017","Milliers de tonnes","111","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2514","Maïs","2017","2017","Milliers de tonnes","26","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2514","Maïs","2017","2017","Milliers de tonnes","50","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2515","Seigle","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2515","Seigle","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2517","Millet","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2517","Millet","2017","2017","Milliers de tonnes","9","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2518","Sorgho","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5521","Aliments pour animaux","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5142","Nourriture","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5123","Pertes","2531","Pommes de Terre","2017","2017","Milliers de tonnes","22","S","Données standardisées"
