Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","2","Afghanistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","563.983834","Fc","Donnée calculée",""
"MK","Indicateurs macro","202","Afrique du Sud","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","6412.962691","Fc","Donnée calculée",""
"MK","Indicateurs macro","3","Albanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","5131.908959","Fc","Donnée calculée",""
"MK","Indicateurs macro","4","Algérie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4136.289853","Fc","Donnée calculée",""
"MK","Indicateurs macro","79","Allemagne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","47993.473332","Fc","Donnée calculée",""
"MK","Indicateurs macro","6","Andorre","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","42080.55769","Fc","Donnée calculée",""
"MK","Indicateurs macro","7","Angola","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","3441.269755","Fc","Donnée calculée",""
"MK","Indicateurs macro","258","Anguilla","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","19475.592753","Fc","Donnée calculée",""
"MK","Indicateurs macro","8","Antigua-et-Barbuda","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","15629.054576","Fc","Donnée calculée",""
"MK","Indicateurs macro","194","Arabie saoudite","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","23319.887191","Fc","Donnée calculée",""
"MK","Indicateurs macro","9","Argentine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","11601.890079","Fc","Donnée calculée",""
"MK","Indicateurs macro","1","Arménie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4237.388785","Fc","Donnée calculée",""
"MK","Indicateurs macro","22","Aruba","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","30312.604911","Fc","Donnée calculée",""
"MK","Indicateurs macro","10","Australie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","58689.490194","Fc","Donnée calculée",""
"MK","Indicateurs macro","11","Autriche","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","52047.260459","Fc","Donnée calculée",""
"MK","Indicateurs macro","52","Azerbaïdjan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4729.900727","Fc","Donnée calculée",""
"MK","Indicateurs macro","12","Bahamas","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","31116.871408","Fc","Donnée calculée",""
"MK","Indicateurs macro","13","Bahreïn","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","24171.328414","Fc","Donnée calculée",""
"MK","Indicateurs macro","16","Bangladesh","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","1620.668482","Fc","Donnée calculée",""
"MK","Indicateurs macro","14","Barbade","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","17761.54481","Fc","Donnée calculée",""
"MK","Indicateurs macro","57","Bélarus","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","6312.054621","Fc","Donnée calculée",""
"MK","Indicateurs macro","255","Belgique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","47225.757205","Fc","Donnée calculée",""
"MK","Indicateurs macro","23","Belize","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4892.75074","Fc","Donnée calculée",""
"MK","Indicateurs macro","53","Bénin","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","906.489003","Fc","Donnée calculée",""
"MK","Indicateurs macro","17","Bermudes","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","104001.964958","Fc","Donnée calculée",""
"MK","Indicateurs macro","18","Bhoutan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","3253.532886","Fc","Donnée calculée",""
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","3592.084429","Fc","Donnée calculée",""
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","5646.252354","Fc","Donnée calculée",""
"MK","Indicateurs macro","20","Botswana","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","7978.140216","Fc","Donnée calculée",""
"MK","Indicateurs macro","21","Brésil","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","8861.531858","Fc","Donnée calculée",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","31254.694506","Fc","Donnée calculée",""
"MK","Indicateurs macro","27","Bulgarie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","9407.504648","Fc","Donnée calculée",""
"MK","Indicateurs macro","233","Burkina Faso","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","820.166756","Fc","Donnée calculée",""
"MK","Indicateurs macro","29","Burundi","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","292.886814","Fc","Donnée calculée",""
"MK","Indicateurs macro","35","Cabo Verde","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","3572.545968","Fc","Donnée calculée",""
"MK","Indicateurs macro","115","Cambodge","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","1512.505446","Fc","Donnée calculée",""
"MK","Indicateurs macro","32","Cameroun","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","1567.94687","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","46343.371942","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","16388.839274","Fc","Donnée calculée",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","48820.505446","Fc","Donnée calculée",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","86248.547881","Fc","Donnée calculée",""
"MK","Indicateurs macro","41","Chine, continentale","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","9616.756315","Fc","Donnée calculée",""
"MK","Indicateurs macro","50","Chypre","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","28956.958277","Fc","Donnée calculée",""
"MK","Indicateurs macro","44","Colombie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","6676.033274","Fc","Donnée calculée",""
"MK","Indicateurs macro","45","Comores","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","1400.486121","Fc","Donnée calculée",""
"MK","Indicateurs macro","46","Congo","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","2624.715541","Fc","Donnée calculée",""
"MK","Indicateurs macro","48","Costa Rica","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","12138.824794","Fc","Donnée calculée",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","1727.629024","Fc","Donnée calculée",""
"MK","Indicateurs macro","98","Croatie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","14644.504431","Fc","Donnée calculée",""
"MK","Indicateurs macro","49","Cuba","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","8705.917496","Fc","Donnée calculée",""
"MK","Indicateurs macro","279","Curaçao","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","19358.621821","Fc","Donnée calculée",""
"MK","Indicateurs macro","54","Danemark","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","61809.750887","Fc","Donnée calculée",""
"MK","Indicateurs macro","72","Djibouti","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","3009.407574","Fc","Donnée calculée",""
"MK","Indicateurs macro","55","Dominique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","7413.637732","Fc","Donnée calculée",""
"MK","Indicateurs macro","59","Égypte","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","2513.199691","Fc","Donnée calculée",""
"MK","Indicateurs macro","60","El Salvador","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4064.05821","Fc","Donnée calculée",""
"MK","Indicateurs macro","225","Émirats arabes unis","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","43407.635143","Fc","Donnée calculée",""
"MK","Indicateurs macro","58","Équateur","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","6427.997753","Fc","Donnée calculée",""
"MK","Indicateurs macro","178","Érythrée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","1321.381592","Fc","Donnée calculée",""
"MK","Indicateurs macro","203","Espagne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","30599.42268","Fc","Donnée calculée",""
"MK","Indicateurs macro","63","Estonie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","23528.804365","Fc","Donnée calculée",""
"MK","Indicateurs macro","209","Eswatini","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","3385.567253","Fc","Donnée calculée",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","62981.386956","Fc","Donnée calculée",""
"MK","Indicateurs macro","238","Éthiopie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","746.664248","Fc","Donnée calculée",""
"MK","Indicateurs macro","185","Fédération de Russie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","11534.175152","Fc","Donnée calculée",""
"MK","Indicateurs macro","66","Fidji","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","6069.463297","Fc","Donnée calculée",""
"MK","Indicateurs macro","67","Finlande","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","49955.341172","Fc","Donnée calculée",""
"MK","Indicateurs macro","68","France","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","41168.651446","Fc","Donnée calculée",""
"MK","Indicateurs macro","74","Gabon","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","8219.383713","Fc","Donnée calculée",""
"MK","Indicateurs macro","75","Gambie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","754.620604","Fc","Donnée calculée",""
"MK","Indicateurs macro","73","Géorgie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4504.482259","Fc","Donnée calculée",""
"MK","Indicateurs macro","81","Ghana","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","2224.259481","Fc","Donnée calculée",""
"MK","Indicateurs macro","84","Grèce","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","19577.784895","Fc","Donnée calculée",""
"MK","Indicateurs macro","86","Grenade","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","10787.400403","Fc","Donnée calculée",""
"MK","Indicateurs macro","85","Groenland","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","53948.860792","Fc","Donnée calculée",""
"MK","Indicateurs macro","89","Guatemala","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4549.68037","Fc","Donnée calculée",""
"MK","Indicateurs macro","90","Guinée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","891.74539","Fc","Donnée calculée",""
"MK","Indicateurs macro","61","Guinée équatoriale","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","10141.120341","Fc","Donnée calculée",""
"MK","Indicateurs macro","175","Guinée-Bissau","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","764.899506","Fc","Donnée calculée",""
"MK","Indicateurs macro","91","Guyana","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","4880.587529","Fc","Donnée calculée",""
"MK","Indicateurs macro","93","Haïti","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","835.716025","Fc","Donnée calculée",""
"MK","Indicateurs macro","95","Honduras","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","2545.336392","Fc","Donnée calculée",""
"MK","Indicateurs macro","97","Hongrie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","16295.32521","Fc","Donnée calculée",""
"MK","Indicateurs macro","36","Îles Caïmanes","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2018","2018","","87977.512364","Fc","Donnée calculée",""
