Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2000","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2994","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3400","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3349","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3556","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","7","Angola","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2270","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2430","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3194","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3239","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3078","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","10","Australie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3311","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3692","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3103","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2043","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2596","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2896","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3289","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3768","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","23","Belize","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2698","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2756","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2354","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3269","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2340","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3248","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2828","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","233","Burkina Faso","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2720","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","35","Cabo Verde","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2515","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","115","Cambodge","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2472","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","32","Cameroun","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2653","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","33","Canada","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3492","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","40","Chili","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3011","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","96","Chine - RAS de Hong-Kong","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3358","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","128","Chine - RAS de Macao","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3002","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","41","Chine, continentale","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3197","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","214","Chine, Taiwan Province de","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2976","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2616","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","44","Colombie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3094","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","46","Congo","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","2309","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","48","Costa Rica","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2017","2017","Kcal/personne/jour","3015","Fc","Donnée calculée",""
