Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","10.55","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","34.56","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","66.34","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.71","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","63.08","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","16.48","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","54.06","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","37.01","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","65.69","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","44.57","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","71.3","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","64.88","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","30.11","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","42.01","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","11.96","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","50.37","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","50.99","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","57.87","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.45","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","14.39","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","31.06","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","34.73","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","26.45","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","52.8","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","41.65","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","233","Burkina Faso","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","10.94","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","35","Cabo Verde","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.7","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","115","Cambodge","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","19.16","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","32","Cameroun","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","11.26","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","33","Canada","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","50.97","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","45.52","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","96","Chine - RAS de Hong-Kong","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","101.11","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","128","Chine - RAS de Macao","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","67.08","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","41","Chine, continentale","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","40.08","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","214","Chine, Taiwan Province de","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","42.46","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","45.65","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","44","Colombie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","37.18","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","46","Congo","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","26.67","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","48","Costa Rica","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","45.58","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","107","Côte d'Ivoire","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","13.71","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","98","Croatie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","53.79","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","49","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","32.58","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","54","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","73.23","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","72","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","12.83","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","55","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","43.03","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","59","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","24.08","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","60","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","25.95","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","225","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","43.83","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","58","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","29.94","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","203","Espagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","66.53","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","63","Estonie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","61.49","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","209","Eswatini","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","18.11","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","231","États-Unis d'Amérique","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","73.87","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","238","Éthiopie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","5.85","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","185","Fédération de Russie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","55.8","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","66","Fidji","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","31.21","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","67","Finlande","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","73.54","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","68","France","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","69.68","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","74","Gabon","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","38.78","Fc","Donnée calculée",""
"FBS","Nouveaux Bilans Alimentaire","75","Gambie","674","Disponibilité de protéines en quantité (g/personne/jour)","2941","Produits Animaux","2017","2017","g/personne/jour","16.59","Fc","Donnée calculée",""
