Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","2","Afghanistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","27722.276","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","194","Arabie saoudite","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","25888.541","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","1","Arménie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2907.618","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","52","Azerbaïdjan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8821.873","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","13","Bahreïn","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1114.641","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","16","Bangladesh","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","144304.167","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","671.613","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","379.421","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","115","Cambodge","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","13883.834","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","96","Chine - RAS de Hong-Kong","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6881.863","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","128","Chine - RAS de Macao","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","515.239","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","41","Chine, continentale","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1353569.484","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","214","Chine, Taiwan Province de","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","23019.045","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","50","Chypre","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1081.563","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","225","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7089.487","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","73","Géorgie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4142.655","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","100","Inde","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1200669.765","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","101","Indonésie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","235469.762","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","102","Iran (République islamique d')","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","72120.604","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","103","Iraq","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","28385.746","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","105","Israël","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","7020.836","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","110","Japon","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","128538.646","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","112","Jordanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6556.478","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","108","Kazakhstan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","15862.123","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","113","Kirghizistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5254.979","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","118","Koweït","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2656.009","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","121","Liban","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4764.741","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","131","Malaisie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","27236.006","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","132","Maldives","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","343.452","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","141","Mongolie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2631.898","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","28","Myanmar","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","49929.642","X","Sources internationales sûres",""
