Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","202","Afrique du Sud","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","49779.471","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","4","Algérie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","34730.608","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","7","Angola","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","21695.634","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","53","Bénin","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8696.921","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","20","Botswana","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1915.639","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","233","Burkina Faso","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14689.725","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","29","Burundi","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","8126.102","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","35","Cabo Verde","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","480.842","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","32","Cameroun","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","19252.666","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","45","Comores","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","657.229","X","Sources internationales sûres","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Séries temporelles annuelles","46","Congo","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4011.486","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","107","Côte d'Ivoire","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","19605.569","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","72","Djibouti","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","816.358","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","59","Égypte","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","79636.079","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","178","Érythrée","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3062.779","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1049.945","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","238","Éthiopie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","82916.235","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","74","Gabon","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1518.54","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","75","Gambie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1689.285","X","Sources internationales sûres",""
