"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"1","Bp",0,0,0,0,65235,418,0,0,0,0,0,0,0,0,0,0,0,0,65235,31596.5,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,780,0,0,0,0,24461,0,0,0,2735,0,0,0,0,0,39766,0,0,0,0,2955,0,0,0,0,0,0,0,0,0
"2","Bp",0,0,0,0,58830,685,0,0,0,0,0,0,0,0,0,0,0,0,48883,21948,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,20041,0,0,0,1699,0,0,0,0,0,27060.5,0,0,0,0,2044,0,0,0,0,0,0,0,0,0
"3","Bp",0,0,0,0,13632,571,0,0,0,0,0,0,0,0,0,0,0,0,15624,7511,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,7751.5,0,0,0,493,0,0,0,0,0,9100,0,0,0,0,583.5,0,0,0,0,0,0,0,0,0
"4","Bp",0,0,0,0,41056,2562,86,0,0,0,0,0,0,0,0,0,0,1570,33156,13744,0,0,0,0,196,0,0,0,0,0,0,0,183,0,0,0,4439,0,0,0,95,25798,312,0,1098,1561.5,283.5,0,0,479.5,0,45594,0,0,0,0,6936,0,0,0,0,4785.5,86,0,0,0
"5","Bp",0,0,0,0,65235,1225,215,0,0,0,0,0,0,0,0,0,0,759.5,60311,27520.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32599,0,0,0,2185.5,0,0,0,0,0,2381,0,0,0,0,5279,0,0,0,0,1836,0,0,0,0
"6","Bp",0,0,0,0,26935,1466,0,0,0,0,0,0,0,0,0,0,0,717,22992.5,9583,0,0,0,0,91,0,0,0,0,0,0,0,3,0,0,0,2964.5,0,0,0,0,17170,115,0,767,977.5,90,0,0,280.5,0,28625,0,0,0,0,3273.5,0,0,0,0,2882,0,0,0,0
"7","Bp",0,0,0,0,11435,1350,0,0,0,0,0,0,0,0,0,0,0,669,12781.5,5231,0,0,0,0,120,0,0,0,0,0,0,0,207,0,0,0,2912,0,0,0,0,16272,262,0,782.5,943,101,0,0,300.5,0,24016,0,0,0,0,3839.5,0,0,0,0,3219,0,0,0,0
"8","Bp",0,0,0,0,53786,718.5,0,0,0,0,0,0,0,0,0,0,0,496,57349,23605,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,2419.5,0,0,0,0,23596.5,0,0,306.5,2260,0,0,0,94,0,33034.5,0,0,0,0,5267,0,0,0,0,1368,5.5,0,0,0
"9","Bp",0,0,0,0,12577.5,920,0,0,0,0,0,0,0,0,0,0,0,421,16412,8326.5,0,0,0,0,110,0,0,0,0,0,0,0,473.5,0,0,0,3341.5,0,0,0,107.5,21420.5,449.5,0,1227,1132,208,0,0,587.5,0,30713,0,0,51.5,0,4085.5,0,0,0,0,4505,180.5,0,0,0
"10","Bp",0,0,0,0,25126.5,499.5,0,0,0,0,0,0,0,0,0,0,0,0,21750,9900,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,2999,0,0,0,0,17452,0,0,0,1603,10046,0,2,4534.5,0,24401,0,0,2,0,5646,0,0,0,0,0,0,0,0,0
