"","Souche","X1","X2","X3","X4","X6","X7","X14","X16","X19","X21","X24","X25","X26","X27","X29","X30","X31","X32","X34","X35","X38","X41","X43","X51","X52","X53","X54","X55","X56","X58","X61","X62","X63","X68","X70","X72","X73","X74","X77","X78","X79","X81","X82","X83","X84","X85","X86","X87","X89","X90","X102","X108","X110","X118","X122","X123","X127","X128","X137","X143","X164","X169","X170","X171","X172","X173"
"1","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,0,201,0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,2093.5,0,0,0,0,0,0,0,0,2498,5993,5543,0,0,0,881,0,0,0,0,0,56,0,0,0
"2","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3174,0,0,169.5,0,0,0,0,0,0,0,0,0,0,0,2889,0,0,0,0,12659,0,0,0,383,97.5,0,0,206,5657,27529,39722.5,0,0,28,4730,0,0,0,0,0,386,0,0,0
"3","Pa",0,0,4697,11,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,185,0,461,0,0,926,1513,1624,2748,4914,1568.5,2398,18610,5911.5,984,4045,23616,30665,45438,40002,7862,14370,65235,4872,9746.5,30680,0,29167.5,102,0,382,0,36543,0,0,1901.5,0,0,996.5,0,0,0
"4","Ssp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5559,0,0,105,0,0,0,0,0,0,101.5,0,0,0,0,5457,51.5,0,0,0,19889,0,0,0,206.5,309,97,0,287.5,10306.5,42523,61108,0,0,245,7252,0,0,0,0,0,867,0,0,0
"5","Pa",0,0,6828,389,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.5,4136.5,343,0,0,600,0,556.5,109,84.5,0,2348,1613,6583,4275,4393,9110,29213,8445,4,27936.5,7149,48986.5,32968,12467,32024,4050.5,34006,33594.5,28400,25599.5,808.5,56355.5,2235.5,218,351,195,57057.5,0,64,1534,0,298,2681,0,0,0
"6","Pa",0,0,1971,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,208,419,245.5,2566,226,303,8388,5127,0,5122,15224.5,17271,30199,1941,501,8363,7984.5,770,12841,16704,17,17676,743,0,186.5,0,19811.5,0,0,1205,0,303,698.5,0,0,0
"7","Spn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5122,0,176,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,5163.5,600,0,0,0,23530,0,0,0,1133.5,842,0,0,10,0,39985,0,0,0,0,5982,0,0,0,0,1412,0,0,0,0
"8","Xneg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Kpn",0,0,2169,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1,388,0,0,870.5,404,1215,1765.5,1232,1564,118,10063.5,4808,2507,475.5,20343,24682,34946,5588,13419,6730.5,65235,13898,33744,19604.5,0,11439,463.5,0,73,0,17986,0,0,2,0,0,0,0,0,0
"10","Mca",0,0,0,0,200,0,0,0,0,475.5,0,0,0,0,0,0,0,2488,0,1,0,0,0,0,0,0,120,0,0,0,212,670,0,0,0,0,12992.5,3834,0,0,0,22303.5,0,0.5,2831,1623.5,65235,0,356,18985,0,40725,0,0,892,767,19901,4042,0,0,0,0,0,0,0,0
"11","Hi",0,0,0,0,0,0,0,939,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,100,0,0,0,0,0,0,596.5,0,0,96,0,4570,2990,0,0,2481,17937,30194.5,789.5,10238,4678.5,4971,606.5,2762,14926,111,10850,362,0,0,0,16344,0,0,0,0,0,0,1767,1212.5,2032
"12","Hi",0,0,0,0,0,0,200,342.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,601,360,0,0,0,1621,2454,0,388,98,87.5,0,0,498.5,94,1425,213.5,0,0,0,2386,0,0,0,0,0,0,775.5,476,988
